id,source_name,Other_name,BZcat_name,ra,dec,WISE_mag_2,NVSS_FIRST_flux,z_flag,redshift,nu_flag,nu_peak,flux_peak,Fermi_counterpart,blazar_type,Fermi_gr_slope,Fermi_gr_slope_error,TEV_FOM
173,1WHSP J031951.7+184534,SHBLJ031951.9+18453,5BZGJ0319+1845,49.96583,18.75961,12.8,22.9,1,0.19,1,17.3,-11.3,3FGL J0319.8+1847,0,1.6,0.1,1.0
860,1WHSP J193656.1-471950,1WGAJ1936.8-4719,5BZBJ1936-4719,294.23375,-47.33056,12.9,92.9,1,0.265,1,17.7,-11.2,3FGL J1936.9-4719,0,1.6,0.1,1.26
23,1WHSP J003020.4-164712,-,--,7.58508,-16.78694,13.3,9.5,3,0.52,1,15.6,-11.7,3FGL J0030.2-1646,5,1.6,0.13,0.4
434,1WHSP J110337.6-232930,SHBLJ110337.7-23293,5BZBJ1103-2329,165.90675,-23.49194,12.3,121.1,1,0.186,1,17.1,-10.5,3FGL J1103.5-2329,0,1.6,0.14,6.31
887,1WHSP J205528.2-002116,2FGLJ2055.4-0023,5BZBJ2055-0021,313.86758,-0.35472,13.5,41.0,1,0.44,3,18.0,-10.9,3FGL J2055.2-0019,0,1.6,0.14,2.51
492,1WHSP J120317.8-392620,CRATESJ120317-392611,--,180.82454,-39.43914,13.3,80.4,0,0,1,16.1,-12.0,3FGL J1203.5-3925,1,1.6,0.15,0.2
471,1WHSP J114118.6+680429,1RXSJ114118.3+68043,--,175.32775,68.07489,15.1,22.5,0,0,1,15.3,-12.8,3FGL J1141.2+6805,1,1.6,0.16,0.03
35,1WHSP J004348.6-111606,1RXSJ004349.3-111612,--,10.95271,-11.26861,13.3,24.9,0,0,1,15.7,-11.6,3FGL J0043.7-1117,1,1.6,0.16,0.5
269,1WHSP J055040.5-321616,PKS0548-322,5BZGJ0550-3216,87.66904,-32.27122,11.9,344.8,1,0.069,1,18.1,-10.6,3FGL J0550.6-3217,0,1.6,0.16,5.01
810,1WHSP J171553.2+884415,-,--,258.97208,88.73758,14.6,12.0,0,0,1,16.2,-12.3,3FGL J1711.6+8846,1,1.6,0.18,0.1
194,1WHSP J035305.0-362308,1WGAJ0353.0-3623,5BZBJ0353-3623,58.27096,-36.38567,13.5,11.9,0,0,1,17.1,-11.7,3FGL J0353.0-3622,0,1.6,0.18,0.4
193,1WHSP J035257.4-683117,PKSB0352-686,--,58.23946,-68.52142,11.9,409.4,1,0.087,1,18.2,-11.0,3FGL J0353.0-6831,0,1.6,0.18,2.0
6,1WHSP J000835.3-233927,1RXSJ000835.4-233917,5BZBJ0008-2339,2.14742,-23.65772,13.4,36.3,1,0.147,3,17.0,-11.8,3FGL J0008.6-2340,3,1.6,0.18,0.32
634,1WHSP J140659.1+164207,SHBLJ140659.1+16420,5BZBJ1406+1642,211.74662,16.70217,14.2,8.4,3,0.54,1,16.8,-11.7,3FGL J1406.6+1644,0,1.6,0.21,0.4
247,1WHSP J050938.1-040045,SHBLJ050938.3-04003,5BZBJ0509-0400,77.40904,-4.01267,13.4,71.2,1,0.304,1,17.5,-11.3,3FGL J0509.7-0400,0,1.6,0.23,1.0
159,1WHSP J030416.3-283218,SHBLJ030416.4-28321,5BZBJ0304-2832,46.06804,-28.53836,14.4,8.3,3,0.7,1,17.7,-11.6,3FGL J0304.3-2836,2,1.6,0.23,0.5
521,1WHSP J122644.2+063853,BZBJ1226+0638,5BZBJ1226+0638,186.68425,6.64808,13.5,17.4,3,0.36,1,15.8,-11.7,3FGL J1226.8+0638,0,1.6,0.24,0.4
862,1WHSP J194422.3-452331,1RXSJ194422.6-452326,--,296.09333,-45.39217,12.8,67.3,0,0,1,16.4,-11.7,3FGL J1944.1-4523,1,1.6,0.26,0.4
455,1WHSP J112349.1+722959,SHBLJ112349.2+72300,5BZBJ1123+7229,170.95487,72.49989,14.2,12.6,0,0,2,15.0,-11.7,3FGL J1123.6+7231,0,1.6,0.35,0.4
87,1WHSP J013632.5+390559,SHBLJ013632.9+39055,5BZBJ0136+3905,24.13579,39.09978,11.1,60.6,0,0,1,16.1,-10.9,3FGL J0136.5+3905,0,1.7,0.02,2.51
798,1WHSP J165352.2+394536,1WGAJ1653.8+3945,5BZBJ1653+3945,253.46758,39.76014,9.3,1558.6,1,0.03,1,17.9,-10.2,3FGL J1653.9+3945,3,1.7,0.02,12.6
513,1WHSP J122121.9+301037,SHBLJ122121.7+30104,5BZBJ1221+3010,185.34146,30.177,11.4,71.6,1,0.18,1,16.8,-10.8,3FGL J1221.3+3010,0,1.7,0.04,3.16
25,1WHSP J003334.3-192132,SHBLJ003334.6-19213,5BZBJ0033-1921,8.39317,-19.35914,11.5,18.9,3,0.506,1,15.7,-11.0,3FGL J0033.6-1921,0,1.7,0.04,2.0
411,1WHSP J103744.2+571155,1RXSJ103744.9+571159,5BZBJ1037+5711,159.43458,57.19881,11.3,71.8,3,0.33,1,15.9,-11.1,3FGL J1037.5+5711,0,1.7,0.05,1.58
45,1WHSP J005116.6-624204,1FGL_J0051.4-6242,5BZBJ0051-6242,12.81925,-62.70119,12.5,43.2,3,0.3,1,15.9,-11.3,3FGL J0051.2-6241,0,1.7,0.06,1.0
407,1WHSP J103118.5+505335,SHBLJ103118.6+50534,5BZBJ1031+5053,157.82721,50.89331,12.7,38.1,3,0.3,1,16.6,-10.9,3FGL J1031.2+5053,0,1.7,0.07,2.51
915,1WHSP J214636.9-134400,1RXSJ214637.3-134355,5BZBJ2146-1344,326.65396,-13.73344,12.9,23.0,3,0.42,1,15.7,-11.5,3FGL J2146.6-1344,0,1.7,0.07,0.63
467,1WHSP J113630.1+673704,SHBLJ113630.9+67370,5BZBJ1136+6737,174.12542,67.61789,12.5,45.9,1,0.134,1,18.0,-10.9,3FGL J1136.6+6736,3,1.7,0.08,2.51
288,1WHSP J071030.0+590820,EXO0706.1+5913,5BZBJ0710+5908,107.62521,59.13903,12.1,159.3,1,0.12,1,18.0,-10.7,3FGL J0710.3+5908,3,1.7,0.09,3.98
187,1WHSP J033829.2+130215,-,--,54.62196,13.03764,13.1,15.7,0,0,1,16.2,-11.8,3FGL J0338.5+1303,5,1.7,0.1,0.32
819,1WHSP J173605.2+203301,2FGLJ1735.9+2033,5BZBJ1736+2033,264.02188,20.55031,13.3,24.8,0,0,1,16.3,-11.5,3FGL J1736.0+2033,0,1.7,0.1,0.63
612,1WHSP J135120.8+111453,1RXSJ135120.9+111458,5BZBJ1351+1114,207.83688,11.24808,12.8,42.9,3,0.51,1,15.8,-11.3,3FGL J1351.4+1115,0,1.7,0.1,1.0
337,1WHSP J084712.9+113350,SHBLJ084713.3+11334,5BZBJ0847+1133,131.80388,11.56394,12.9,33.3,1,0.198,1,18.1,-11.2,3FGL J0847.1+1134,0,1.7,0.11,1.26
